"name","sub","size"
"SENSIS CORPORATION","National Aeronautics and Space Administration",983207
"LEXMARK INTERNATIONAL INC","National Agricultural Statistics Service",934969.33
"FCN INC","National Agricultural Statistics Service",689486.04
"INTERNATIONAL BUSINESS MACHINE","National Agricultural Statistics Service",630728.25
"UNITED PARCEL SERVICE INCORPORATED OH 2075","National Agricultural Statistics Service",625000
"AUDIO VISUAL INNOVATIONS INC","National Agricultural Statistics Service",563314.29
"DIGITAL MANAGEMENT INC","National Agricultural Statistics Service",486439.23
"WESTAT INC","National Agricultural Statistics Service",431433
"GOVERNMENT ACQUISITIONS INC","National Agricultural Statistics Service",406337.88
"EXECUTIVE INFORMATION SYSTEMS","National Agricultural Statistics Service",375251.58
"FUTURENET GROUP INCORPORATED","National Agricultural Statistics Service",374192.9
"MICROPACT INC","National Appeals Division",546871.59
"WEST PUBLISHING CORPORATION","National Appeals Division",62518.92
"TRUSTED TRANSLATIONS INC","National Appeals Division",57700.33
"CORPORATE PORTFOLIO MANAGEMENT SOLUTIONS CPMS LLC","National Appeals Division",40000
"MID-ATLANTIC PARKING SERVICES INC","National Appeals Division",27000
"CRYSTAL CITY LLC","National Appeals Division",11000
"HONEYWELL INTERNATIONAL INC","National Archives and Records Administration",967638.62
"LEO A DALY COMPANY","National Archives and Records Administration",965355.74
"VISION TECHNOLOGIES INC","National Archives and Records Administration",927732.83
"CORRECT MECHANICAL SERVICES INC","National Archives and Records Administration",906929.43
"RICOH USA INC","National Archives and Records Administration",884876.21
"JACOBS PROJECT MANAGEMENT CO","National Archives and Records Administration",735550.5
"CROWLEY MICROGRAPHICS INC","National Archives and Records Administration",716969.37
"PEGASUS RADIO CORP","National Archives and Records Administration",711055.67
"KYOCERA DOCUMENT SOLUTIONS AMERICA INC","National Archives and Records Administration",681792.25
"ARVCO CONTAINER CORPORATION","National Archives and Records Administration",668051.4
"CAPITOL BUSINESS SOLUTIONS INC","National Capital Planning Commission",347049.85
"TECHNICAL SPECIALTIES INC","National Capital Planning Commission",107000
"CALIBRE SYSTEMS INC","National Capital Planning Commission",85700
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","National Capital Planning Commission",81225.68
"KNOWLEDGE CONSULTING GROUP INC","National Capital Planning Commission",49569.64
"CDW GOVERNMENT LLC","National Capital Planning Commission",48340
"XEROX CORPORATION","National Capital Planning Commission",29416.08
"KEY & ASSOCIATES PC","National Capital Planning Commission",23720.72
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC","National Capital Planning Commission",18930
"FREEBALANCE INC","National Capital Planning Commission",12251.25
"QUALITY SOFTWARE SERVICES INC","National Endowment for the Arts",647684.59
"REGENTS OF THE UNIVERSITY OF MICHIGAN","National Endowment for the Arts",645124
"WESTERN STATES ARTS FEDERATION","National Endowment for the Arts",534346.59
"SYSTEMS SUPPORT ALTERNATIVES INC","National Endowment for the Arts",408993
"SOCIAL POLICY RESEARCH ASSOCIATES INC","National Endowment for the Arts",299983
"2M RESEARCH SERVICES LLC","National Endowment for the Arts",265583.45
"GUREVICH MICHAEL","National Endowment for the Arts",244800
"INTERPERSONAL FREQUENCY LLC","National Endowment for the Arts",225300
"XEROX CORPORATION","National Endowment for the Arts",206092
"CARAHSOFT TECHNOLOGY CORP","National Endowment for the Arts",155751
"FORUM ONE COMMUNICATIONS CORPORATION","National Endowment for the Humanities",686198
"MIDTOWN PERSONNEL INC","National Endowment for the Humanities",547630
"AT&T CORP","National Endowment for the Humanities",246275
"SHI INTERNATIONAL CORP","National Endowment for the Humanities",239949
"LEXIS NEXIS ACADEMIC AND LIBRA","National Endowment for the Humanities",205999
"THE CHOICE FOR TEMPORARIES","National Endowment for the Humanities",188271
"CC OWNER LLC","National Endowment for the Humanities",166894
"PUBLISHING OFFICE US GOVERNMENT","National Endowment for the Humanities",156887
"CARAHSOFT TECHNOLOGY CORPORATION","National Endowment for the Humanities",138656
"CAPITAL AUDIO VISUALS INC","National Endowment for the Humanities",120339
"GALLERY SYSTEMS INC","National Gallery of Art",970525
"DAVIS BUCKLEY A PROFESSIONAL CORPORATION","National Gallery of Art",934765.09
"SERVICE MECHANICAL INC","National Gallery of Art",900470.59
"JE RICHARDS INCORPORATED","National Gallery of Art",898062
"INTELLIPOINT CONSULTING INC","National Gallery of Art",713605.12
"SIGNATURE RENOVATIONS LLC","National Gallery of Art",651031.7
"FEDERAL RADIO SERVICE CORP","National Gallery of Art",649210
"DELL MARKETING LP","National Gallery of Art",575598.86
"WILLIAM H WALSTON COMPANY","National Gallery of Art",553878.27
"WORCESTER EISENBRANDT INC","National Gallery of Art",529290.39
"ISW LLC","National Geospatial-Intelligence Agency",957875
"ONE VOICE COMMUNICATIONS INC","National Geospatial-Intelligence Agency",243262.9
"GTT GLOBAL TELECOM GOVERNMENT SERVICES LLC","National Geospatial-Intelligence Agency",119258.33
"EXPEDITION TECHNOLOGY INC","National Geospatial-Intelligence Agency",118779
"LEVEL 3 COMMUNICATIONS LIMITED LIABILITY COMPANY","National Geospatial-Intelligence Agency",116182.14
"MCI COMMUNICATIONS SERVICES INCORPORATED","National Geospatial-Intelligence Agency",105025.29
"GENERAL MOTORS LLC","National Geospatial-Intelligence Agency",41482
"AMERICAN TELESIS INC","National Geospatial-Intelligence Agency",38887.33
"FUTURE SERVICES FOR GENERAL TRADING & CONTRACTING CO","National Geospatial-Intelligence Agency",14376
"VANASSE HANGEN BRUSTLIN INC","National Highway Traffic Safety Administration",991290.18
"OHIO STATE UNIVERSITY THE","National Highway Traffic Safety Administration",956420
"HARRIS CORPORATION","National Highway Traffic Safety Administration",877051.86
"MARYN CONSULTING INC","National Highway Traffic Safety Administration",775958.32
"SAE INTERNATIONAL","National Highway Traffic Safety Administration",772321
"YALE UNIVERSITY","National Highway Traffic Safety Administration",742046
"DYNAMIC-PRO INC","National Highway Traffic Safety Administration",741207
"INTERNATIONAL BUSINESS MACHINES CORPORATION","National Highway Traffic Safety Administration",734889.6
"KGB MEDIA LLC","National Highway Traffic Safety Administration",728382
"R L POLK & CO","National Highway Traffic Safety Administration",725496
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","National Indian Gaming Commission",201035.9
"TRIGEM ENTERPRISES INC","National Indian Gaming Commission",97269.28
"DBISP LLC","National Indian Gaming Commission",53725
"THUNDERCAT TECHNOLOGY LLC","National Indian Gaming Commission",20377.91
"CANON USA INC","National Indian Gaming Commission",14093.16
"RED RIVER COMPUTER CO INC","National Indian Gaming Commission",11154.38
"HR ANEW INC","National Indian Gaming Commission",8182.8
"AMERICAN MANAGEMENT ASSOCIATION INTERNATIONAL","National Indian Gaming Commission",7051
"CHICKASAW NATION COMMUNITY DEVELOPMENT ENDEAVOR LLC","National Indian Gaming Commission",6000
"STUART L PLOTNICK LLC","National Indian Gaming Commission",4100
"DSFEDERAL INC","National Institute of Food and Agriculture",956606.4
"DELL MARKETING LP","National Institute of Food and Agriculture",549667.23
"BEYOND THE BOTTOM LINE INC","National Institute of Food and Agriculture",512915.79
"FORUM ONE COMMUNICATIONS CORPORATION","National Institute of Food and Agriculture",428618.08
"LIBRARY ASSOCIATES OF MARYLAND LLC","National Institute of Food and Agriculture",238088.4
"TECONOMY PARTNERS LLC","National Institute of Food and Agriculture",223947
"INTELLIGENT FISCAL OPTIMAL SOLUTIONS LLC","National Institute of Food and Agriculture",220244.4
"HAWLEY-THOMAS ENTERPRISES INC","National Institute of Food and Agriculture",199756.8
"STRATEGIC COMMUNICATIONS LLC","National Institute of Food and Agriculture",186902
"EVERGREEN INFORMATION TECHNOLOGY SERVICES INC","National Institute of Food and Agriculture",164985.3
"NSI-MI TECHNOLOGIES LLC","National Institute of Standards and Technology",986950
"AGILENT TECHNOLOGIES INC","National Institute of Standards and Technology",964355.08
"EC AMERICA INC","National Institute of Standards and Technology",962790.64
"HAMILTON ENTERPRISES LLC","National Institute of Standards and Technology",946911.98
"SPRINGER CUSTOMER SERVICE CENTER LLC","National Institute of Standards and Technology",932822
"SENSOR SCIENCES","National Institute of Standards and Technology",929889
"JOHN WILEY & SONS INC","National Institute of Standards and Technology",924347.15
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","National Institute of Standards and Technology",918000
"ADVANCED MEASUREMENT TECHNOLOGY INC","National Institute of Standards and Technology",916324.12
"MESA MACHINERY SERVICES INCORPORATED","National Institute of Standards and Technology",861790.13
"GLYCOSENSORS AND DIAGNOSTICS LLC","National Institutes of Health",999970
"ENUMERAL BIOMEDICAL CORP","National Institutes of Health",999967
"MEDICAL DECISION LOGIC INC","National Institutes of Health",999904
"GLYCOBIA LLC","National Institutes of Health",999898
"EAST WEST INC","National Institutes of Health",999846.4
"PINMED INC","National Institutes of Health",999821
"PHOENIX BIOSYSTEM INC","National Institutes of Health",999816.14
"RADIX BIO SOLUTIONS LTD","National Institutes of Health",999517
"PRO-CHANGE BEHAVIOR SYSTEMS INC","National Institutes of Health",999498
"MARINES MEMORIAL ASSOCIATION","National Institutes of Health",998615.87
"LINDEN RESOURCES INC","National Labor Relations Board",959126.97
"GOVCONNECTION INC","National Labor Relations Board",770271.78
"A GOVERNMENT SOLUTIONS INC","National Labor Relations Board",751354.27
"THOMAS CASTRO GUTIERREZ CPA LLC","National Labor Relations Board",646319.32
"TRIAD TECHNOLOGY PARTNERS LLC","National Labor Relations Board",579426.48
"GENCO SYSTEMS INCORPORATED","National Labor Relations Board",531897.49
"PITNEY BOWES GLOBAL FINANCIAL SERVICES LLC","National Labor Relations Board",525771.99
"RICOH USA INC","National Labor Relations Board",501850.17
"AFFIGENT LLC","National Labor Relations Board",357881.1
"BIALEK CORPORATION OF MARYLAND THE","National Labor Relations Board",336954.97
"ADINO INC","National Mediation Board",755649.61
"DESIGN ARMY LLC","National Mediation Board",165000
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","National Mediation Board",156216.96
"REDHAWK IT SOLUTIONS LLC","National Mediation Board",104856.5
"LRP PUBLICATIONS INC","National Mediation Board",104536
"MERIDIAN IMAGING SOLUTIONS INC","National Mediation Board",72135
"ALLMOND MARVIN C","National Mediation Board",70645.8
"CARAHSOFT TECHNOLOGY CORPORATION","National Mediation Board",63575.21
"ONIX NETWORKING CORP","National Mediation Board",55091.51
"BUREAU OF NATIONAL AFFAIRS INC THE","National Mediation Board",47846
"E W WELLS GROUP LLC","National Oceanic and Atmospheric Administration",993950.73
"SECURITY MANAGEMENT OF SOUTH CAROLINA LIMITED LIABILITY COMPANY","National Oceanic and Atmospheric Administration",990877.44
"T&T JANITORIAL INC","National Oceanic and Atmospheric Administration",990135.94
"MICROCOM DESIGN INC","National Oceanic and Atmospheric Administration",987303.1
"ENTERPRISE RESOURCE PLANNED SYSTEMS INTERNATIONAL LLC","National Oceanic and Atmospheric Administration",980966.08
"CACI INC FEDERAL","National Oceanic and Atmospheric Administration",976015.31
"MS JULIE LLC","National Oceanic and Atmospheric Administration",975450.63
"VIGOR ALASKA - SEWARD LLC","National Oceanic and Atmospheric Administration",972165.95
"VAL-COAST INC","National Oceanic and Atmospheric Administration",956510
"DATA ENTRY COMPANY THE","National Oceanic and Atmospheric Administration",956062.65
"ASH FORK SANITATION LLC","National Park Service",995873.03
"PECK PECK AND ASSOCIATES INC","National Park Service",994650.25
"AMIDON INC","National Park Service",994057.12
"BRASADA FORD LTD","National Park Service",993508
"EDDIE LOPEZ CONSTRUCTION LLC","National Park Service",991651.99
"PCG ENTERPRISES INC","National Park Service",991112.6
"PARAMOUNT CONSTRUCTION GROUP LLC","National Park Service",983356
"MUNDUS BISHOP DESIGN INC","National Park Service",982745.91
"BLUE TECH INC","National Park Service",980965.46
"SEA REACH LTD","National Park Service",976464.96
"PRICE MODERN LLC","National Protection and Programs Directorate",954190.58
"MOI INC","National Protection and Programs Directorate",945421.03
"OBXTEK INC","National Protection and Programs Directorate",941581.45
"PBP MANAGEMENT GROUP INC","National Protection and Programs Directorate",915550.08
"TECOLOTE RESEARCH INC","National Protection and Programs Directorate",898496.31
"GLOBAL TECH INC","National Protection and Programs Directorate",893434.7
"AMBIT GROUP LLC","National Protection and Programs Directorate",865863.49
"PANUM TELECOM LLC","National Protection and Programs Directorate",839082.13
"VEND-TECH ENTERPRISE LLC","National Protection and Programs Directorate",806548.45
"DYNAMIC-PRO INC","National Protection and Programs Directorate",805478.14
"FEDERAL MANAGEMENT PARTNERS INCORPORATED","National Science Foundation",997565.04
"MARTEK GLOBAL SERVICES INC","National Science Foundation",973254.04
"GENERAL DYNAMICS MISSION SYSTEMS INC","National Science Foundation",962104.42
"GLASGOW INVESTIGATIVE SOLUTIONS INC","National Science Foundation",932339.2
"NEW TECH SOLUTIONS INC","National Science Foundation",920048.45
"THUNDERCAT TECHNOLOGY LLC","National Science Foundation",878708.8
"GOVCONNECTION INC","National Science Foundation",866950.64
"EXECUTIVE PROTECTION SYSTEMS LLC","National Science Foundation",816815.27
"MILLENNIUM SERVICES 2000 INCORPORATED","National Science Foundation",810409.51
"THOMSON REUTERS SCIENTIFIC LLC","National Science Foundation",803060
"FORD MOTOR COMPANY","National Security Agency/Central Security Service",295092
"MITRETEK SYSTEMS INC","National Security Agency/Central Security Service",285549
"CALIFORNIA INSTITUTE OF TECHNOLOGY","National Security Agency/Central Security Service",226248
"GENERAL MOTORS LLC","National Security Agency/Central Security Service",186777
"DAKOTA CONSULTING INCORPORATED","National Security Agency/Central Security Service",151918.55
"STRATEGIC VALUE SOLUTIONS INC","National Security Agency/Central Security Service",91484
"BROADWAY FORD TRUCK SALES INC","National Security Agency/Central Security Service",59416
"AL QABANDI UNITED COMPANY","National Security Agency/Central Security Service",50275.33
"AL-BAZ 2000 TRAD & CONT CO WLL","National Security Agency/Central Security Service",21813
"INSIGHT PUBLIC SECTOR INC","National Technical Information Service",737020.48
"FWG SOLUTIONS INC","National Technical Information Service",406614.16
"INQUISIT LLC","National Technical Information Service",335983.48
"PAXTON RECORD RETENTION INC","National Technical Information Service",244302.35
"A-TECH SYSTEMS INC","National Technical Information Service",229808.01
"THUNDERCAT TECHNOLOGY LLC","National Technical Information Service",201968.98
"PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP","National Technical Information Service",177878.9
"COUNTERTRADE PRODUCTS INC","National Technical Information Service",166684
"ROBOCOM US LLC","National Technical Information Service",162035.99
"IMPRES TECHNOLOGY SOLUTIONS INC","National Technical Information Service",131973.54
"EVENT PLANNING GROUP LLC THE","National Telecommunications and Information Administration",927731.73
"ANACAPA MICRO PRODUCTS INC","National Telecommunications and Information Administration",894711.11
"LINKVISUM CONSULTING GROUP INC","National Telecommunications and Information Administration",819058
"AEROFLEX WICHITA INC","National Telecommunications and Information Administration",744964
"CYBER MEDIA TECHNOLOGIES","National Telecommunications and Information Administration",661440
"FUNCTIONALIT INC","National Telecommunications and Information Administration",591462.38
"FORCE 3 INC","National Telecommunications and Information Administration",566773.21
"ERM-WEST INC","National Telecommunications and Information Administration",532244
"DELOITTE & TOUCHE LLP","National Telecommunications and Information Administration",497800.5
"JFW INDUSTRIES INCORPORATED","National Telecommunications and Information Administration",486107.38
"AMERICAN SECURITY PROGRAMS IN","National Transportation Safety Board",999231
"FEDERAL TECHNOLOGY SERVICES INC","National Transportation Safety Board",625494.36
"POTOMAC CREEK ASSOCIATES LLC","National Transportation Safety Board",615061.4
"INSIGHT PUBLIC SECTOR INC","National Transportation Safety Board",608410.34
"SYSTEMS ENGINEERING INC","National Transportation Safety Board",519502.44
"BARA INFOWARE INC","National Transportation Safety Board",504402.02
"HUMAN CIRCUIT INC","National Transportation Safety Board",440590.39
"WORLD WIDE TECHNOLOGY INC","National Transportation Safety Board",378401.92
"ADVANCED ROTORCRAFT TECHNOLOGY INC","National Transportation Safety Board",319200
"CLEARAVENUE LLC","National Transportation Safety Board",313351.8
"KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED","Natural Resources Conservation Service",914315.93
"CFO LEASING INC","Natural Resources Conservation Service",912366
"ADVANCED ENVIRONMENTAL MANAGEMENT GROUP LLC","Natural Resources Conservation Service",835673.53
"LIVING SHORELINE SOLUTIONS INC","Natural Resources Conservation Service",835266
"STREAM WETLAND SERVICES LLC","Natural Resources Conservation Service",831942.66
"INTERNATIONAL WATER INSTITUTE","Natural Resources Conservation Service",829136
"FEDERAL MANAGEMENT PARTNERS INCORPORATED","Natural Resources Conservation Service",797951.93
"T MCDONALD CONSTRUCTION INC","Natural Resources Conservation Service",772836.06
"ROYAL ENGINEERS AND CONSULTANTS LLC","Natural Resources Conservation Service",750474.69
"EA ENGINEERING SCIENCE AND TECHNOLOGY INC","Natural Resources Conservation Service",735717.27
"SMART ASSISTIVE TECHNOLOGIES LLC","Northern Border Regional Commission",127885
"CANTON GROUP LIMITED LIABILITY COMPANY THE","Northern Border Regional Commission",21801.34
"NEW TECH SOLUTIONS INC","Nuclear Regulatory Commission",999521.36
"SCHINDLER ELEVATOR CORPORATION","Nuclear Regulatory Commission",975354.08
"OTIS ELEVATOR COMPANY","Nuclear Regulatory Commission",972467.06
"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY","Nuclear Regulatory Commission",910946.4
"NVE INC","Nuclear Regulatory Commission",886895
"BANNEKER VENTURES LLC","Nuclear Regulatory Commission",861000
"HEALTHCARE RESOURCE NETWORK LLC","Nuclear Regulatory Commission",857000
"PENNSYLVANIA STATE UNIVERSITY THE","Nuclear Regulatory Commission",835426
"DELOITTE CONSULTING LLP","Nuclear Regulatory Commission",820471.77
"COUNTERPOINTE SOLUTIONS INC","Nuclear Regulatory Commission",810573.86
"ZENETH TECHNOLOGY PARTNERS LLC","Occupational Safety and Health Administration",700591.46
"IMPRES TECHNOLOGY SOLUTIONS INC","Occupational Safety and Health Administration",678911.71
"KNIGHT POINT SYSTEMS LLC","Occupational Safety and Health Administration",660373
"FACILITIES CONNECTION INC","Occupational Safety and Health Administration",602890.09
"NORTHSTAR TECHNOLOGY CORP","Occupational Safety and Health Administration",548466.12
"DUN & BRADSTREET INC","Occupational Safety and Health Administration",493077.72
"GRA INC","Occupational Safety and Health Administration",461960
"HIGHLIGHT TECHNOLOGIES LLC","Occupational Safety and Health Administration",378731.2
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Occupational Safety and Health Administration",350414.49
"ACTIONET INC","Occupational Safety and Health Administration",278953.6
"QWEST GOVERNMENT SERVICES INC","Occupational Safety and Health Review Commission",484000
"DATAPRISE INC","Occupational Safety and Health Review Commission",143400
"SVANACO INC","Occupational Safety and Health Review Commission",134824.45
"HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC","Occupational Safety and Health Review Commission",121600
"MICROPACT INC","Occupational Safety and Health Review Commission",114601.66
"LIBRARY ASSOCIATES OF MARYLAND LLC","Occupational Safety and Health Review Commission",88830
"J KENT & ASSOCIATES INC","Occupational Safety and Health Review Commission",87253.92
"WEST PUBLISHING CORPORATION","Occupational Safety and Health Review Commission",54174.84
"BERRY ANN THORNTON","Occupational Safety and Health Review Commission",53500
"HERITAGE REPORTING CORP","Occupational Safety and Health Review Commission",50000
"FEDERAL PRISON INDUSTRIES INC","Office for Civil Rights",68589.72
"MOI INC","Office of Administrative Law Judges",772697.9
"BAYLEY REPORTING INC","Office of Administrative Law Judges",400757.05
"RELX INC","Office of Administrative Law Judges",149760
"FREE STATE REPORTING INC","Office of Administrative Law Judges",99700.7
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of Administrative Law Judges",51516.46
"INTERIOR RESOURCE GROUP INC","Office of Administrative Law Judges",47946.37
"KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED","Office of Administrative Law Judges",30916.63
"CENTRAL PARKING CORPORATION","Office of Administrative Law Judges",29348
"PITNEY BOWES INC","Office of Administrative Law Judges",20995.86
"EVIGILANTCOM INCORPORATED","Office of Administrative Law Judges",20805.17
"KAISER ASSOCIATES INC","Office of Administrative Services",968256.12
"DIDLAKE INC","Office of Administrative Services",878478.85
"TDB COMMUNICATIONS INCORPORATED","Office of Administrative Services",765290.16
"MIDTOWN PERSONNEL INC","Office of Administrative Services",558038.4
"KELLY ANDERSON & ASSOCIATES INC","Office of Administrative Services",438000
"AA TEMPS INC","Office of Administrative Services",367850.88
"XEROX CORPORATION","Office of Administrative Services",347705.95
"TECHNICAL SOLUTIONS AND MAINTENANCE INCORPORATED","Office of Administrative Services",186437.76
"US BUS CHARTER & LIMO INC","Office of Administrative Services",144768
"MICROPACT INC","Office of Administrative Services",132817.27
"HART ENERGY PUBLISHING LLLP","Office of Advocacy and Outreach",27500
"GRADY HOTEL INVESTMENTS LLC","Office of Advocacy and Outreach",4885.6
"DEAF ACCESS SOLUTIONS INC","Office of Advocacy and Outreach",3118.43
"PATRIOT CONSTRUCTION INC","Office of Assistant Secretary for Planning and Evaluation",93948
"SKY BLUE BUILDERS LLC","Office of Assistant Secretary for Planning and Evaluation",66400.05
"QWEST COMMUNICATIONS INTERNATIONAL INC","Office of Assistant Secretary for Planning and Evaluation",15426.99
"KENWOOD USA CORPORATION","Office of Assistant Secretary for Planning and Evaluation",4145.75
"SBC GLOBAL SERVICES INC","Office of Assistant Secretary for Planning and Evaluation",471.25
"MALIK CONSULTING INC","Office of Assistant Secretary for Preparedness and Response",948426.94
"AIR PARTNER INC","Office of Assistant Secretary for Preparedness and Response",860979
"LOUIS M GERSON CO INC","Office of Assistant Secretary for Preparedness and Response",856852.95
"THE MITRE CORPORATION","Office of Assistant Secretary for Preparedness and Response",849283
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of Assistant Secretary for Preparedness and Response",576809.66
"ZAYO GROUP LLC","Office of Assistant Secretary for Preparedness and Response",528190
"COMMFED SOLUTIONS INC","Office of Assistant Secretary for Preparedness and Response",498257.45
"METROSTAR SYSTEMS INC","Office of Assistant Secretary for Preparedness and Response",465034.66
"UPS SUPPLY CHAIN SOLUTIONS INC","Office of Assistant Secretary for Preparedness and Response",458434.64
"NBBJ LP","Office of Assistant Secretary for Preparedness and Response",424952.75
"BUSINESS DECISIONS INFORMATION","Office of Assistant Secretary of Civil Rights",281577.43
"COMPUCON INC","Office of Assistant Secretary of Civil Rights",265826.64
"INQUEST SOLUTIONS INC","Office of Assistant Secretary of Civil Rights",254023.19
"INTERNATIONAL CIVIL RIGHTS INV","Office of Assistant Secretary of Civil Rights",244344.79
"MARTIN-MISER ASSOCIATES INC","Office of Assistant Secretary of Civil Rights",243899
"ATTAINX INC","Office of Assistant Secretary of Civil Rights",200000
"FEDERAL FACILITATORS LLC","Office of Assistant Secretary of Civil Rights",158000
"HUMAN RESOURCES SELECT SERVICE","Office of Assistant Secretary of Civil Rights",105113.27
"STARS II PARTNERSHIP JOINT VENTURE LLC","Office of Assistant Secretary of Civil Rights",89972.13
"WINTERSMITH & ASSOCIATES INC","Office of Assistant Secretary of Civil Rights",50000
"HALTER FAITH","Office of Budget and Program Analysis",6000
"INTELLIGENT FISCAL OPTIMAL SOLUTIONS LLC","Office of Chief Financial Officer",967680
"MORGANFRANKLIN CORPORATION","Office of Chief Financial Officer",548782.57
"COMTER SYSTEMS INC","Office of Chief Financial Officer",207206.57
"YOUR RECRUITING COMPANY INCORPORATED","Office of Chief Financial Officer",206409.84
"E LEARNING INNOVATIONS","Office of Chief Financial Officer",181442.41
"PARKER TIDE CORP","Office of Chief Financial Officer",157607.92
"XEROX CORPORATION","Office of Chief Financial Officer",133646.8
"SYSTEMS PLUS INC","Office of Chief Financial Officer",100800
"CW GOVERNMENT TRAVEL INC","Office of Chief Financial Officer",47895.76
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of Chief Financial Officer",27415.68
"CORESPHERE LIMITED LIABILITY COMPANY","Office of Citizen Services and Innovative Technologies",247847.07
"CASCADES TECHNOLOGIES INC","Office of Citizen Services and Innovative Technologies",162221.68
"TRUETANDEM LLC","Office of Citizen Services and Innovative Technologies",153782.04
"WEBFIRST INC","Office of Communication",579629.86
"INSIGHT PUBLIC SECTOR INC","Office of Communication",230224
"DOUGHERTY & ASSOCIATES INC","Office of Communication",225000
"ADORAMA INC","Office of Communication",72605.45
"P B I INC","Office of Communication",67297.97
"RELX INC","Office of Communication",46680
"AUROTECH INC","Office of Communication",37560.66
"CISION US INC","Office of Communication",36570
"POLITICO LLC","Office of Communication",34800
"ENTERPRISE TECHNOLOGY SOLUTIONS INC","Office of Communication",31588.9
"FORUM ONE COMMUNICATIONS CORPORATION","Office of Communications and Marketing",778232.8
"CATVIDEO INC","Office of Communications and Marketing",202442.16
"CEB INC","Office of Communications and Marketing",39335
"SITEIMPROVE INC","Office of Communications and Marketing",35138.54
"WINVALE GROUP LLC THE","Office of Communications and Marketing",28248.88
"NATIONAL JOURNAL GROUP INC","Office of Congressional Relations",5890
"HRWORX LLC","Office of Ethics",395211.5
"SUPRIYA AGGARWAL","Office of Ethics",31291.68
"GOVERNMENT ACQUISITIONS INC","Office of Ethics",10103.5
"GLOBAL NETWORKS INC","Office of Ethics",8226.47
"NETCENTRIC TECHNOLOGIES INC","Office of Executive Secretariat",10000
"ECONSULT CORPORATION","Office of Federal Contract Compliance Program",583415
"VEKKER CONSULTING LLC","Office of Federal Contract Compliance Program",482750
"XEROX CORPORATION","Office of Federal Contract Compliance Program",383341.6
"22ND CENTURY TECHNOLOGIES INC","Office of Federal Contract Compliance Program",346981.2
"CELLCO PARTNERSHIP","Office of Federal Contract Compliance Program",272911.94
"ROCKSPUR GROUP LLC","Office of Federal Contract Compliance Program",200448.53
"COUNCIL ROCK CONSULTING INCORPORATED","Office of Federal Contract Compliance Program",176156
"ASHENFELTER & ASHMORE","Office of Federal Contract Compliance Program",176148
"NEW TECH SOLUTIONS INC","Office of Federal Contract Compliance Program",165863.48
"GLOBAL EVALUATION & APPLIED RESEARCH SOLUTIONS GEARS INC","Office of Federal Contract Compliance Program",149921.55
"AUROTECH INCORPORATED","Office of General Counsel",893403.95
"TRUETANDEM LLC","Office of General Counsel",461591.26
"FREE STATE REPORTING INCORPORATED","Office of General Counsel",343703.12
"GILBERT GARY M","Office of General Counsel",300000
"RELX INC","Office of General Counsel",96000
"GOVERNMENT ACQUISITIONS INC","Office of General Counsel",48496.8
"ONE WORKPLACE L FERRARI LLC","Office of General Counsel",41025.38
"SUPRIYA AGGARWAL","Office of General Counsel",33526.8
"TBS FACILITY SERVICES GROUP LLC","Office of General Counsel",27020
"CANON USA INC","Office of General Counsel",25177.68
"THE BERNDT GROUP LTD","Office of Government Ethics",163634.5
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","Office of Government Ethics",128212.65
"ADVANCED COMPUTER CONCEPTS INC","Office of Government Ethics",116208.38
"VETERAN INFORMATION TECHNOLOGIES LLC","Office of Government Ethics",104552.45
"MINBURN TECHNOLOGY GROUP LLC","Office of Government Ethics",82277.13
"ALVAREZ & ASSOCIATES LLC","Office of Government Ethics",54704.06
"FCN INC","Office of Government Ethics",35229.09
"ENTERPRISE TECHNOLOGY SOLUTIONS INC","Office of Government Ethics",31049.5
"BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC","Office of Government Ethics",30194.47
"STERLING COMPUTERS CORPORATION","Office of Government Ethics",23478.1
"ACCLARO RESEARCH SOLUTIONS INC","Office of Government-wide Policy",653228.06
"FORS MARSH GROUP LLC","Office of Government-wide Policy",590073
"MIRACLE SYSTEMS LLC","Office of Government-wide Policy",580116.54
"THE MITRE CORPORATION","Office of Government-wide Policy",549654
"GARTNER INC","Office of Government-wide Policy",502992
"SALIENT FEDERAL-SGIS INC","Office of Government-wide Policy",431955.39
"MANAGEMENT CONCEPTS INCORPORATED","Office of Government-wide Policy",397217
"OMNISOLVE INC","Office of Government-wide Policy",358678.58
