"Agency","Subagency","accountID","Title","Obligation"
"Department of the Interior","Department-Wide Programs",645,"Working Capital Fund, Departmental Management",1277828428.93
"Department of the Interior","Department-Wide Programs",648,"Interior Franchise Fund, Departmental Management",2203631660.71
"Department of Justice","General Administration",867,"Justice Gift Fund, Justice",2500
"Department of Justice","General Administration",839,"National Drug Intelligence Center, General Administration, Justice",0
"Department of Justice","General Administration",801,"Tactical Law Enforcement Wireless Communications, General Administration, Justice",2540838.21
"Department of Justice","General Administration",804,"Detention Trustee, General Administration, Justice",0
"Department of Justice","General Administration",842,"Working Capital Fund, Justice",1621668206.21
"Department of Justice","Legal Activities and U.S. Marshals",810,"Salaries and Expenses, Antitrust Division, Justice",173384865.97
"Department of Justice","Legal Activities and U.S. Marshals",797,"Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims, Foreign Claims Settlement Commission, Justice",0
"Department of Justice","Legal Activities and U.S. Marshals",802,"Construction, United States Marshals Service, Justice",12195696.03
"Department of Justice","Legal Activities and U.S. Marshals",834,"Federal Prisoner Detention, Justice",1423576867.74
"Department of Justice","Legal Activities and U.S. Marshals",809,"Fees and Expenses of Witnesses, Justice",293737414.79
"Department of Justice","Legal Activities and U.S. Marshals",815,"Independent Counsel, Justice",3350331.05
"Department of Justice","Legal Activities and U.S. Marshals",821,"September 11th Victim Compensation, General Legal Activities, Justice",1416139.08
"Department of Justice","Legal Activities and U.S. Marshals",806,"Victims Compensation Fund, General Legal Activities, Justice",999849130.22
"Department of Justice","Legal Activities and U.S. Marshals",851,"United States Victims of State Sponsored Terrorism Fund, General Legal Activities, Justice",974556629.08
"Department of Justice","Legal Activities and U.S. Marshals",846,"United States Trustee System Fund, Justice",230234623.97
"Department of Justice","Legal Activities and U.S. Marshals",845,"Assets Forfeiture Fund, Justice",1347936582.84
"Department of Justice","Legal Activities and U.S. Marshals",843,"Justice Prisoner and Alien Transportation System Fund, United States Marshals Service, Justice",42989654.95
"Department of Justice","Radiation Exposure Compensation",818,"Payment to the Radiation Exposure Compensation Trust Fund, Justice",65000000
"Department of Justice","Radiation Exposure Compensation",866,"Radiation Exposure Compensation Trust Fund, Justice",59305766.19
"Department of Justice","Federal Bureau of Investigation",808,"Construction, Federal Bureau of Investigation, Justice",164188351.33
"Department of Justice","Drug Enforcement Administration",838,"Construction, Drug Enforcement Administration, Justice",0
"Department of Justice","Drug Enforcement Administration",848,"Diversion Control Fee Account, Justice",420678721.06
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives",831,"Construction, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",0
"Department of Justice","Federal Prison System",832,"Buildings and Facilities, Federal Prison System, Justice",92411048.12
"Department of Justice","Federal Prison System",841,"Prison Industries Fund, Justice",632819405.3
"Department of Justice","Federal Prison System",869,"Commissary Funds, Federal Prisons, Justice",350109569.37
"Department of Justice","Office of Justice Programs",822,"Research, Evaluation, and Statistics, Office of Justice Programs, Justice",387611032.79
"Department of Justice","Office of Justice Programs",828,"Salaries and Expenses, Office of Justice Programs, Justice",0
"Department of Justice","Office of Justice Programs",819,"Weed and Seed Program Fund, Justice",0
"Department of Justice","Office of Justice Programs",826,"Community Oriented Policing Services, Office of Justice Programs, Justice",66440634.34
"Department of Justice","Office of Justice Programs",875,"Office of Justice Programs, Community Oriented Policing Services, Violent Crime Reduction Programs, Justice",0
"Department of Justice","Office of Justice Programs",827,"Violence Against Women Prevention and Prosecution Programs, Office of Justice Programs, Justice",479032343.63
"Department of Justice","Office of Justice Programs",825,"Juvenile Justice Programs, Office of Justice Programs, Justice",238333917.25
"Department of Justice","Office of Justice Programs",823,"Public Safety Officers Benefits, Office of Justice Programs, Justice",141382815.86
"Department of Justice","Office of Justice Programs",868,"Gifts, Crime Victims Fund, Office of Justice Programs, Justice",0
"Department of Justice","Office of Justice Programs",850,"Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice",4586000
"Department of Labor","Employment and Training Administration",923,"Salaries and Expenses, H-1B Funded, Training and Employment Services, Employment and Training Administration, Labor",133773416.68
"Department of Labor","Employment and Training Administration",905,"Interior, Bureau of Indian Affairs",1302499.93
"Department of Labor","Employment and Training Administration",904,"Office of Job Corps - Recovery Act, Departmental Management, Labor",18743.04
"Department of Labor","Employment and Training Administration",901,"Payments to the Unemployment Trust Fund, Employment and Training Administration, Labor",2802708
"Department of Labor","Employment and Training Administration",895,"Short Time Compensation Programs, Employment and Training Administration, Labor",630.9
"Department of Labor","Employment and Training Administration",917,"Federal Additional Unemployment Compensation Program - Recovery Act, Employment and Training Administration, Labor",0
"Department of Labor","Employment and Training Administration",918,"Federal Unemployment Compensation Program, Employment and Training Administration, Labor",7644010.56
"Department of Labor","Employment and Training Administration",932,"Unemployment Trust Fund - Treasury Managed",34028280839
"Department of Labor","Pension Benefit Guaranty Corporation",919,"Pension Benefit Guaranty Corporation, Labor",6361476188.47
"Department of Labor","Office of Workers' Compensation Programs",913,"Special Benefits, Office of Workers Compensation Program, Labor",2997510884.7
"Department of Labor","Office of Workers' Compensation Programs",914,"Energy Employees Occupational Illness Compensation Fund, Labor",1244318647.04
"Department of Labor","Office of Workers' Compensation Programs",915,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",130179802.56
"Department of Labor","Office of Workers' Compensation Programs",896,"Special Benefits for Disabled Coal Miners, Office of Workers' Compensation Program, Labor",89525784.21
"Department of Labor","Office of Workers' Compensation Programs",924,"Panama Canal Commission Compensation Fund, Labor",4496967.03
"Department of Labor","Office of Workers' Compensation Programs",933,"Relief and Rehabilitation, Longshoremen's and Harbor Workers' Compensation Act, as Amended, Labor",107938655.75
"Department of Labor","Office of Workers' Compensation Programs",935,"Relief and Rehabilitation, Workmen's Compensation Act, within the District of Columbia, Labor",5816414.96
"Department of Labor","Wage and Hour Division",886,"Wage and Hour Division H-2B, Wage and Hour Division, Labor",0
"Department of Labor","Wage and Hour Division",925,"H-1B and L Fraud Protection and Detection Account, Wage and Hour Division, Labor",58635407.36
"Department of Labor","Departmental Management",934,"Gifts and Bequests, Departmental Management, Labor",0
"Department of Labor","Departmental Management",885,"Office of Inspector General - Recovery Act, Departmental Management, Labor",0
"Department of Labor","Departmental Management",921,"Working Capital Fund, Labor",430004022.84
"Department of State","Administration of Foreign Affairs",1043,"H-1B and L Fraud Prevention and Detection Account, State",32517772.89
"Department of State","Administration of Foreign Affairs",997,"Salaries and Expenses, State",0
"Department of State","Administration of Foreign Affairs",1001,"International Information Programs, State",0
"Department of State","Administration of Foreign Affairs",1000,"Conflict Stabilization Operations, State",7409907.85
"Department of State","Administration of Foreign Affairs",999,"Capital Investment Fund, State",313697.77
"Department of State","Administration of Foreign Affairs",1007,"Centralized Information Technology Modernization Program, State",0
"Department of State","Administration of Foreign Affairs",1011,"Buying Power Maintenance Account, State",0
"Department of State","Administration of Foreign Affairs",1042,"Foreign Service National Defined Contributions Retirement Fund, State",14285238.92
"Department of State","Administration of Foreign Affairs",1018,"Repatriation Loans, Liquidating Account, State",0
"Department of State","Administration of Foreign Affairs",1064,"Foreign Service Retirement and Disability Fund, State",946469026.39
"Department of State","Administration of Foreign Affairs",1067,"Foreign Service National Separation Liability Trust Fund, State",28950439.97
"Department of State","Administration of Foreign Affairs",1069,"Unconditional Gift Fund, State",15330357.89
"Department of State","Administration of Foreign Affairs",1070,"Conditional Gift Fund, General, State",1128364.31
"Department of State","Administration of Foreign Affairs",1063,"Trust Funds, State",0
"Department of State","International Organizations and Conferences",1030,"International Conferences and Contingencies, State",42877.25
"Department of State","International Organizations and Conferences",1032,"Arrearage Payments, State",0
"Department of State","International Commissions",1025,"Construction, International Boundary and Water Commission, United States and Mexico, State",36123095.86
"Department of State","Other",1036,"Payments to the Center for Middle Eastern-Western Dialogue, State",0
"Department of State","Other",1012,"Payment to the Asia Foundation, State",17000000
"Department of State","Other",1005,"National Endowment for Democracy, State",170000000
"Department of State","Other",1003,"North/South Center, State",0
"Department of State","Other",1041,"International Litigation Fund, State",5441152.04
"Department of State","Other",1040,"International Center, Washington, D. C., State",2680208.7
"Department of State","Other",1034,"United States Bilateral Science and Technology Agreements, State",0
"Department of State","Other",1038,"Fisherman's Protective Fund, Special Account, State",0
"Department of State","Other",1039,"Fishermen's Guaranty Fund, State",0
"Department of State","Other",1066,"Eastern Europe Student Exchange Endowment Fund, State",0
"Department of State","Other",1065,"Israeli Arab Scholarship Program, State",0
"Department of State","Other",1062,"American Studies Endowment Fund, State",0
"Department of State","Other",1006,"Russian Far East Technical Assistance Center, State",0
"Department of State","Other",1068,"Center for Middle Eastern-Western Dialogue Trust Fund, State",774683
"Department of Transportation","Office of the Secretary",1855,"Gifts and Bequests, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1612,"Rental Payments, Office of the Secretary",0
"Department of Transportation","Office of the Secretary",1779,"Working Capital Fund, Transportation Systems Center, Transportation",356553955.69
"Department of Transportation","Office of the Secretary",1627,"New Headquarters Building, Office of the Secretary, Transportation",61501.16
"Department of Transportation","Office of the Secretary",1628,"Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1630,"Compensation for General Aviation Operations, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1608,"Transportation Research Activities Overseas, Special Foreign Currency Program, Office of the Secretary, Transportation",0
"Department of Transportation","Office of the Secretary",1784,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",135549239.18
"Department of Transportation","Office of the Secretary",1778,"Working Capital Fund, Transportation",404778766.31
"Department of Transportation","Office of the Secretary",1834,"Payment to Air Carriers, Office of the Secretary, Transportation",197411905
"Department of Transportation","Federal Aviation Administration",1748,"Facilities, Engineering and Development, Federal Aviation Administration, Transportation",0
"Department of Transportation","Federal Aviation Administration",1783,"Aviation User Fees, Federal Aviation Administration, Transportation",1607670.54
"Department of Transportation","Federal Aviation Administration",1772,"Aviation Insurance Revolving Fund, Transportation",990609.43
"Department of Transportation","Federal Aviation Administration",1780,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",512972279.66
"Department of Transportation","Federal Aviation Administration",1822,"Airport and Airway Trust Fund - Treasury Managed, Transportation",14596
"Department of Transportation","Federal Aviation Administration",1824,"Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",3549656420.03
"Department of Transportation","Federal Highway Administration",1685,"Des Moines Inner Loop Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1698,"Miscellaneous Massachusetts Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1697,"Arkansas I-69 Connector, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1679,"Urban Highway Corridor and Bicycle Project, Federal Highway Administration, Transportation",385699.54
"Department of Transportation","Federal Highway Administration",1639,"Surface Transportation Projects, Federal Highway Administration, Transportation",5729593.7
"Department of Transportation","Federal Highway Administration",1636,"Off-System Roads, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1637,"Access Highways to Public Recreation Areas on Certain Lakes, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1640,"Inter-American Highway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1641,"Bikeway Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1643,"Bridge Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1644,"Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1645,"Highway Widening and Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1649,"Public Lands Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1651,"Highway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1652,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",215840.68
"Department of Transportation","Federal Highway Administration",1653,"Highway Studies Feasibility, Design, Environmental, Engineering, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1655,"Alaska Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1657,"Highway Beautification, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1662,"Delta Regional Transportation Development Program, Federal Highway Administration, Transportation",460047
"Department of Transportation","Federal Highway Administration",1663,"Darien Gap Highway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1664,"Rail Crossings Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1665,"Territorial Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1666,"Railroad-Highway Crossings Demonstration Projects, Federal Highway Administration, Transportation",295336.49
"Department of Transportation","Federal Highway Administration",1667,"Interstate Transfer Grants-Highways, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1668,"Highway Widening Demonstration, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1669,"Intersection Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1670,"Highway Capacity Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1671,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",11294.98
"Department of Transportation","Federal Highway Administration",1672,"Indiana Industrial Corridor Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1673,"Corridor H Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1674,"Road Extension Demonstration, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1675,"Oklahoma Highway Widening Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1676,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1677,"Kentucky Bridge Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1678,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1680,"Urban Airport Access Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1681,"Expressway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1682,"Alabama Feasibility Study, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1683,"Ebensburg Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1684,"Highway Demonstration Projects, Preliminary Engineering, Federal Highway Administration, Transportation",12500
"Department of Transportation","Federal Highway Administration",1686,"Corridor G Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1687,"Corning Bypass Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1688,"Spring Mountain Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1689,"Ottumwa Road Extension Project, Federal Highway Administration",0
"Department of Transportation","Federal Highway Administration",1691,"Highway 20 Realignment Project, Federal Highway Administration, Transportation",6698.8
"Department of Transportation","Federal Highway Administration",1692,"Ramp Relocation and Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1693,"Corridor D Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1646,"Appalachian Corridor Improvement Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1647,"Congestion Mitigation, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1648,"Cross Westchester Expressway, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1650,"Schenectady Bridge, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1700,"Woodrow Wilson Memorial Bridge, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1661,"I-35W Bridge Repair and Reconstruction, Federal Highway Administration, Transportation",317645.52
"Department of Transportation","Federal Highway Administration",1695,"Appalachian Development System, Federal Highway Administration, Transportation",1381
"Department of Transportation","Federal Highway Administration",1699,"Alabama and West Virginia Highway Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1660,"State Infrastructure Banks, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1638,"Forest Service, Agriculture",0
"Department of Transportation","Federal Highway Administration",1658,"TIFIA General Fund Program Account, Federal Highway Administration, Transportation",3440114.22
"Department of Transportation","Federal Highway Administration",1851,"Right-of-Way Revolving Fund, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1821,"Highway Trust Fund - Treasury Managed, Transportation",2022029
"Department of Transportation","Federal Highway Administration",1659,"Highway Infrastructure Programs, Federal Highway Administration, Transportation",143602.72
"Department of Transportation","Federal Highway Administration",1815,"Appalachian Development Highway System, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1852,"Technical Assistance, United States Dollars Advanced from Foreign Governments, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1810,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",58309061.63
"Department of Transportation","Federal Highway Administration",1832,"Contributions for Highway Research Program, Federal Highway Administration, Transportation",358512.04
"Department of Transportation","Federal Highway Administration",1833,"Cooperative Work, Forest Highways, Federal Highway Administration, Transportation",44097.6
"Department of Transportation","Federal Highway Administration",1840,"International Highway Transportation Outreach Program, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1857,"Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1845,"Urban Highway Corridor and Bicycle Transportation Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1839,"Highway Demonstration Projects, Federal Highway Administration, Transportation",1440.05
"Department of Transportation","Federal Highway Administration",1797,"Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1798,"Carpool and Vanpool Projects, Federal Highway Administration",0
"Department of Transportation","Federal Highway Administration",1800,"Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1801,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1803,"Highway Safety Research and Development, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1809,"Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1812,"Bridge Capacity Improvement, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1816,"Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1814,"Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1817,"Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1818,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",109.55
"Department of Transportation","Federal Highway Administration",1820,"Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1827,"Corridor Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1841,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",5200
"Department of Transportation","Federal Highway Administration",1842,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1843,"Kentucky Bridge Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1844,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1846,"Pennsylvania Toll Road Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1847,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1848,"Highway Projects, Federal Highway Administration, Transportation",279840.34
"Department of Transportation","Federal Highway Administration",1850,"Metropolitan Planning Trust Fund, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1849,"Mineola Grade Crossing, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Highway Administration",1807,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",1811,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",1808,"National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",0
"Department of Transportation","Federal Motor Carrier Safety Administration",1829,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",366907311.15
"Department of Transportation","Federal Motor Carrier Safety Administration",1830,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",305252885.44
"Department of Transportation","National Highway Traffic Safety Administration",1704,"Consumer Assistance to Recycle and Save Program, National Highway Traffic Safety Administration, Transportation",0
"Department of Transportation","National Highway Traffic Safety Administration",1705,"National Driver Register Modernization, National Highway Traffic Safety Administration, Transportation",0
"Department of Transportation","National Highway Traffic Safety Administration",1706,"Next Generation 911 Implementation Grants, National Highway Traffic Safety Administration, Transportation",766472.7
"Department of Transportation","National Highway Traffic Safety Administration",1802,"Operations and Research - Trust Fund, National Highway Traffic Safety Administration, Transportation",165083435.79
"Department of Transportation","National Highway Traffic Safety Administration",1838,"National Driver Register, National Highway Traffic Safety Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1617,"Rail Service Assistance, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1712,"Rail Labor Assistance, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1713,"Local Rail Freight Assistance, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1709,"Railroad Safety, Federal Railroad Administration, Transportation",20505097.6
"Department of Transportation","Federal Railroad Administration",1723,"Railroad Research and Development, Federal Railroad Administration, Transportation",40467883.82
"Department of Transportation","Federal Railroad Administration",1710,"Railroad Research, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1621,"Restoration and Enhancement Grants, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1719,"Pennsylvania Station Redevelopment Project, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1722,"Alaska Railroad Rehabilitation, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1711,"Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1720,"Capital Grants to the National Railroad Passenger Corporation - Recovery Act, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1616,"Operating Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1768,"National Network Grants to the National Railroad Passenger Corporation, Transportation",1161683835.04
"Department of Transportation","Federal Railroad Administration",1767,"Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",324390202
"Department of Transportation","Federal Railroad Administration",1619,"Railroad Rehabilitation and Repair, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1615,"Efficiency Incentive Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1714,"Passenger Rail Service, Capital Assistance to States - Intercity, Federal Railroad Administration, Transportation",2080875
"Department of Transportation","Federal Railroad Administration",1717,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service, Federal Railroad Administration, Transportation",11072887.41
"Department of Transportation","Federal Railroad Administration",1856,"High-Speed Ground Transportation, Liquidation of Contract Authorization, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1721,"Rhode Island Rail Development, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1726,"West Virginia Rail Development, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1715,"Rail Line Relocation and Improvement Program, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1708,"Railroad Safety Technology Program, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1769,"Federal-State Partnership for State of Good Repair Grants, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1770,"Condolidated Rail Infrastructure and Safety Improvements Grants, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Railroad Administration",1777,"Financing Funds, Railroad Rehabilitation and Improvement, Liquidating Account, Federal Railroad Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1731,"Research, Training, and Human Resources, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1732,"Urban Discretionary Grants, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1735,"Job Access and Reverse Commute Grants, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1738,"Washington Metropolitan Area Transit Authority, Federal Transit Administration, Transportation",164160636.9
"Department of Transportation","Federal Transit Administration",1733,"Non-Urban Formula Grants, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1734,"Urban Formula Grants, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1742,"Capital Investment Grants, Federal Transit Administration, Transportation",1774368362.6
"Department of Transportation","Federal Transit Administration",1741,"Capital Investment Grants - Recovery Act, Federal Transit Administration, Transportation",9151.15
"Department of Transportation","Federal Transit Administration",1744,"Transit Research, Federal Transit Administration, Transportation",34262289.95
"Department of Transportation","Federal Transit Administration",1743,"University Transportation Research, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1745,"Public Transportation Emergency Relief Program, Federal Transit Administration, Transportation",2097766826.61
"Department of Transportation","Federal Transit Administration",1727,"Transit Capital Assistance - Recovery Act, Federal Transit Administration, Transportation",78277.26
"Department of Transportation","Federal Transit Administration",1728,"Fixed Guideway Infrastructure Investment - Recovery Act, Federal Transit Administration, Transportation",80000
"Department of Transportation","Federal Transit Administration",1831,"Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation",0
"Department of Transportation","Federal Transit Administration",1837,"Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",9923922810.1
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1771,"Saint Lawrence Seaway Development Corporation Fund, Transportation",47078432.03
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1799,"Operations and Maintenance, Saint Lawrence Seaway Development Corporation, Transportation",36028000
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1607,"Research and Special Programs, Pipeline and Hazardous Materials Safety Administration, Transportation",45023.72
"Department of Transportation","Office of Inspector General",1624,"Salaries and Expenses - Recovery Act, Office of Inspector General, Transportation",0
"Department of Transportation","Maritime Administration",1765,"Assistance to Shipyards, Maritime Administration, Transportation",10005275.84
